,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
172,(-0.07442651111547574+0j),(0.0869933824699444+0j),(-0.000968866428101248+0j),,,,,,,(2.0370883265121082e-06+0j)
173,(-0.07229191082667015+0j),(0.08674565323128267+0j),(-0.0009679368737434078+0j),,,,,,,(2.0370903673284347e-06+0j)
174,(-0.07008596714978504+0j),(0.08649830585841438+0j),(-0.0009658863682302458+0j),,,,,,,(2.0370924081447613e-06+0j)
175,(-0.06781085708517014+0j),(0.08625162761585518+0j),(-0.000962706055243406+0j),,,,,,,(2.0370944489610878e-06+0j)
176,(-0.06546882589125504+0j),(0.08600590781161237+0j),(-0.0009583887663965318+0j),,,,,,,(2.0370964897774143e-06+0j)
177,(-0.06306218487033081+0j),(0.08576143736158692+0j),(-0.0009529290582163287+0j),,,,,,,(2.0370985305937408e-06+0j)
178,(-0.06059330908652788+0j),(0.08551850834496985+0j),(-0.0009463232457453417+0j),,,,,,,(2.0371005714100673e-06+0j)
179,(-0.058064635022173954+0j),(0.08527741355149901+0j),(-0.0009385694327315612+0j),,,,,,,(2.037102612226394e-06+0j)
180,(-0.05547865817328007+0j),(0.08503844602145469+0j),(-0.0009296675383566816+0j),,,,,,,(2.0371046530427203e-06+0j)
181,(-0.05283793058740513+0j),(0.08480189857928394+0j),(-0.0009196193204456988+0j),,,,,,,(2.037106693859047e-06+0j)
182,(-0.05014505834231969+0j),(0.08456806336176054+0j),(-0.0009084283950948323+0j),,,,,,,(2.0371087346753733e-06+0j)
183,(-0.04740269897904431+0j),(0.08433723134160306+0j),(-0.0008961002526528096+0j),,,,,,,(2.0371107754917e-06+0j)
184,(-0.044613558874872665+0j),(0.08410969184749012+0j),(-0.0008826422699901553+0j),,,,,,,(2.0371128163080263e-06+0j)
185,(-0.04178039057435068+0j),(0.08388573208142872+0j),(-0.0008680637189931436+0j),,,,,,,(2.037114857124353e-06+0j)
186,(-0.038905990073208746+0j),(0.08366563663444626+0j),(-0.0008523757712235488+0j),,,,,,,(2.0371168979406794e-06+0j)
187,(-0.03599319405637968+0j),(0.08344968700159285+0j),(-0.0008355914986900529+0j),,,,,,,(2.037118938757006e-06+0j)
188,(-0.033044877102527064+0j),(0.08323816109725166+0j),(-0.0008177258706844344+0j),,,,,,,(2.0371209795733324e-06+0j)
189,(-0.030063948844182856+0j),(0.08303133277176722+0j),(-0.0007987957466431124+0j),,,,,,,(2.037123020389659e-06+0j)
190,(-0.027053351098336606+0j),(0.08282947133041005+0j),(-0.0007788198650031489+0j),,,,,,,(2.0371250612059854e-06+0j)
191,(-0.024016054961146296+0j),(0.08263284105570272+0j),(-0.0007578188280314316+0j),,,,,,,(2.037127102022312e-06+0j)
192,(-0.020955057877913658+0j),(0.08244170073413705+0j),(-0.0007358150826157363+0j),,,,,,,(2.0371291428386384e-06+0j)
193,(-0.0178733806817835+0j),(0.08225630318831285+0j),(-0.0007128328970168516+0j),,,,,,,(2.037131183654965e-06+0j)
