,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
157,(-0.09663581989724067+0j),(0.0696035323772578+0j),(-0.0010549978290200148+0j),,,,,,,(2.0370577142672106e-06+0j)
158,(-0.09578025128347151+0j),(0.06958098444998774+0j),(-0.0010243285985284472+0j),,,,,,,(2.037059755083537e-06+0j)
159,(-0.09483015912527956+0j),(0.06955912095631675+0j),(-0.0009916661604077604+0j),,,,,,,(2.0370617958998636e-06+0j)
160,(-0.09378648104901252+0j),(0.06953798433232596+0j),(-0.0009570700418899729+0j),,,,,,,(2.03706383671619e-06+0j)
161,(-0.09265024703892692+0j),(0.06951761566159978+0j),(-0.0009206058645140536+0j),,,,,,,(2.0370658775325166e-06+0j)
162,(-0.09142257842081153+0j),(0.06949805454520987+0j),(-0.0008823451866698382+0j),,,,,,,(2.037067918348843e-06+0j)
163,(-0.09010468675537425+0j),(0.06947933897533937+0j),(-0.000842365324210454+0j),,,,,,,(2.0370699591651697e-06+0j)
164,(-0.0886978726427459+0j),(0.06946150521301585+0j),(-0.0008007491496631721+0j),,,,,,,(2.037071999981496e-06+0j)
165,(-0.08720352443828316+0j),(0.06944458767040856+0j),(-0.000757584870661502+0j),,,,,,,(2.0370740407978227e-06+0j)
166,(-0.08562311688340682+0j),(0.06942861879813167+0j),(-0.0007129657883142656+0j),,,,,,,(2.037076081614149e-06+0j)
167,(-0.08395820964956867+0j),(0.06941362897797801+0j),(-0.0006669900363185495+0j),,,,,,,(2.0370781224304757e-06+0j)
168,(-0.08221044579920185+0j),(0.0693996464214902+0j),(-0.0006197603017124471+0j),,,,,,,(2.037080163246802e-06+0j)
169,(-0.08038155016443305+0j),(0.069386697074755+0j),(-0.0005713835282500677+0j),,,,,,,(2.0370822040631287e-06+0j)
170,(-0.07847332764402504+0j),(0.06937480452978531+0j),(-0.0005219706034635546+0j),,,,,,,(2.0370842448794552e-06+0j)
171,(-0.07648766142343015+0j),(0.06936398994282982+0j),(-0.00047163603055558654+0j),,,,,,,(2.0370862856957817e-06+0j)
172,(-0.07442651111547574+0j),(0.06935427195992504+0j),(-0.00042049758633908984+0j),,,,,,,(2.0370883265121082e-06+0j)
173,(-0.07229191082667015+0j),(0.06934566664997749+0j),(-0.00036867596650868337+0j),,,,,,,(2.0370903673284347e-06+0j)
174,(-0.07008596714978504+0j),(0.06933818744563522+0j),(-0.0003162944195907825+0j),,,,,,,(2.0370924081447613e-06+0j)
175,(-0.06781085708517014+0j),(0.06933184509217814+0j),(-0.0002634783709747289+0j),,,,,,,(2.0370944489610878e-06+0j)
176,(-0.06546882589125504+0j),(0.06932664760462601+0j),(-0.00021035503847579228+0j),,,,,,,(2.0370964897774143e-06+0j)
177,(-0.06306218487033081+0j),(0.06932260023323064+0j),(-0.00015705304092272144+0j),,,,,,,(2.0370985305937408e-06+0j)
178,(-0.06059330908652788+0j),(0.06931970543748713+0j),(-0.00010370200129592903+0j),,,,,,,(2.0371005714100673e-06+0j)
179,(-0.058064635022173954+0j),(0.06931796286876465+0j),(-5.0432145967680516e-05+0j),,,,,,,(2.037102612226394e-06+0j)
180,(-0.05547865817328007+0j),(0.06931736936162426+0j),(2.6260983868458755e-06+0j),,,,,,,(2.0371046530427203e-06+0j)
181,(-0.05283793058740513+0j),(0.06931791893385689+0j),(5.5342508630770944e-05+0j),,,,,,,(2.037106693859047e-06+0j)
182,(-0.05014505834231969+0j),(0.06931960279524103+0j),(0.00010758746818399483+0j),,,,,,,(2.0371087346753733e-06+0j)
183,(-0.04740269897904431+0j),(0.06932240936498515+0j),(0.00015923236765374505+0j),,,,,,,(2.0371107754917e-06+0j)
184,(-0.044613558874872665+0j),(0.06932632429778658+0j),(0.0002101500015348595+0j),,,,,,,(2.0371128163080263e-06+0j)
185,(-0.04178039057435068+0j),(0.0693313305184058+0j),(0.0002602149594709626+0j),,,,,,,(2.037114857124353e-06+0j)
186,(-0.038905990073208746+0j),(0.06933740826462244+0j),(0.0003093040106120252+0j),,,,,,,(2.0371168979406794e-06+0j)
187,(-0.03599319405637968+0j),(0.06934453513840891+0j),(0.0003572964796656539+0j),,,,,,,(2.037118938757006e-06+0j)
188,(-0.033044877102527064+0j),(0.06935268616512752+0j),(0.00040407461331458335+0j),,,,,,,(2.0371209795733324e-06+0j)
189,(-0.030063948844182856+0j),(0.06936183386052981+0j),(0.00044952393577027985+0j),,,,,,,(2.037123020389659e-06+0j)
190,(-0.027053351098336606+0j),(0.069371948305311+0j),(0.0004935335923544923+0j),,,,,,,(2.0371250612059854e-06+0j)
191,(-0.024016054961146296+0j),(0.06938299722695081+0j),(0.0005359966801539554+0j),,,,,,,(2.037127102022312e-06+0j)
192,(-0.020955057877913658+0j),(0.06939494608855286+0j),(0.0005768105649909401+0j),,,,,,,(2.0371291428386384e-06+0j)
193,(-0.0178733806817835+0j),(0.06940775818438143+0j),(0.0006158771842102041+0j),,,,,,,(2.037131183654965e-06+0j)
194,(-0.014774064616799391+0j),(0.06942139474178759+0j),(0.0006531033351264012+0j),,,,,,,(2.0371332244712914e-06+0j)
195,(-0.011660168333732582+0j),(0.06943581502921792+0j),(0.0006884009494481714+0j),,,,,,,(2.037135265287618e-06+0j)
196,(-0.00853476487190681+0j),(0.06945097647001347+0j),(0.000721687354661372+0j),,,,,,,(2.0371373061039445e-06+0j)
197,(-0.005400938627928225+0j),(0.06946683476173805+0j),(0.0007528855243189247+0j),,,,,,,(2.037139346920271e-06+0j)
198,(-0.0022617823103143774+0j),(0.06948334400083288+0j),(0.0007819243206331425+0j),,,,,,,(2.0371413877365975e-06+0j)
199,(0.0008796061140980519+0j),(0.06950045681249209+0j),(0.0008087387350009398+0j),,,,,,,(2.037143428552924e-06+0j)
200,(0.004020126473471978+0j),(0.06951812448581356+0j),(0.0008332701356495407+0j),,,,,,,(2.0371454693692505e-06+0j)
201,(0.007156679453372242+0j),(0.06953629711454147+0j),(0.0008554665374449264+0j),,,,,,,(2.037147510185577e-06+0j)
202,(0.010286169654688235+0j),(0.06955492374415007+0j),(0.0008752829188607103+0j),,,,,,,(2.0371495510019035e-06+0j)
203,(0.013405508648058598+0j),(0.06957395252674725+0j),(0.0008926816286476271+0j),,,,,,,(2.03715159181823e-06+0j)
204,(0.01651161802322155+0j),(0.0695933308865439+0j),(0.0009076329568632195+0j),,,,,,,(2.0371536326345565e-06+0j)
205,(0.019601432424866977+0j),(0.06961300570090447+0j),(0.0009201160056875406+0j),,,,,,,(2.037155673450883e-06+0j)
206,(0.02267190257921821+0j),(0.06963292350437736+0j),(0.0009301199450476409+0j),,,,,,,(2.0371577142672095e-06+0j)
207,(0.025719998302935167+0j),(0.06965303072227168+0j),(0.0009376454910766342+0j),,,,,,,(2.037159755083536e-06+0j)
208,(0.028742711493539536+0j),(0.06967327393714083+0j),(0.000942706472733289+0j),,,,,,,(2.0371617958998626e-06+0j)
209,(0.03173705909770371+0j),(0.06969360019271283+0j),(0.0009453317303100081+0j),,,,,,,(2.037163836716189e-06+0j)
210,(0.0347000860565477+0j),(0.06971395734532593+0j),(0.0009455676128760477+0j),,,,,,,(2.0371658775325156e-06+0j)
211,(0.03762886821984521+0j),(0.06973429447536392+0j),(0.0009434810329175483+0j),,,,,,,(2.037167918348842e-06+0j)
212,(0.04052051523319713+0j),(0.06975456236836047+0j),(0.0009391628585694073+0j),,,,,,,(2.0371699591651686e-06+0j)
213,(0.04337217339011399+0j),(0.06977471406908502+0j),(0.0009327312747597422+0j),,,,,,,(2.037171999981495e-06+0j)
