,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
91,(0.02401605495852973+0j),(0.06835578359531415+0j),(0.0008061106838791174+0j),,,,,,,(2.036923020389661e-06+0j)
92,(0.020955057874566602+0j),(0.06837582035667765+0j),(0.0007900944611999444+0j),,,,,,,(2.0369250612059875e-06+0j)
93,(0.017873380678415565+0j),(0.06839544793323352+0j),(0.0007736091839410606+0j),,,,,,,(2.036927102022314e-06+0j)
94,(0.014774064613413905+0j),(0.0684146545476321+0j),(0.0007566574211495843+0j),,,,,,,(2.0369291428386405e-06+0j)
95,(0.011660168330332881+0j),(0.06843342848862288+0j),(0.0007392418534433289+0j),,,,,,,(2.036931183654967e-06+0j)
96,(0.008534764869221188+0j),(0.06845175811500313+0j),(0.000721365363531094+0j),,,,,,,(2.0369332244712935e-06+0j)
97,(0.005400938625236704+0j),(0.06846963186164334+0j),(0.0007030311106577262+0j),,,,,,,(2.03693526528762e-06+0j)
98,(0.0022617823068922013+0j),(0.068487038247219+0j),(0.0006842425916931756+0j),,,,,,,(2.0369373061039466e-06+0j)
99,(-0.0008796061175209715+0j),(0.06850396588334097+0j),(0.0006650036911492604+0j),,,,,,,(2.036939346920273e-06+0j)
100,(-0.004020126476892263+0j),(0.06852040348483+0j),(0.0006453187220287101+0j),,,,,,,(2.0369413877365996e-06+0j)
101,(-0.007156679456786517+0j),(0.06853633988092397+0j),(0.0006251924590868779+0j),,,,,,,(2.036943428552926e-06+0j)
102,(-0.010286169657731263+0j),(0.06855176402724365+0j),(0.000604630165812033+0j),,,,,,,(2.0369454693692526e-06+0j)
103,(-0.013405508651450754+0j),(0.06856666501837232+0j),(0.0005836376162001923+0j),,,,,,,(2.036947510185579e-06+0j)
104,(-0.016511618026597615+0j),(0.06858103210092913+0j),(0.0005622211122095778+0j),,,,,,,(2.0369495510019056e-06+0j)
105,(-0.019601432428223625+0j),(0.06859485468703659+0j),(0.0005403874976215284+0j),,,,,,,(2.036951591818232e-06+0j)
106,(-0.022671902582552125+0j),(0.06860812236809956+0j),(0.0005181441689043282+0j),,,,,,,(2.0369536326345586e-06+0j)
107,(-0.02571999830624306+0j),(0.06862082492882604+0j),(0.0004954990835698098+0j),,,,,,,(2.036955673450885e-06+0j)
108,(-0.0287427114964697+0j),(0.06863295236143184+0j),(0.00047246076642495975+0j),,,,,,,(2.0369577142672116e-06+0j)
109,(-0.03173705910094979+0j),(0.06864449487998037+0j),(0.00044903831404911665+0j),,,,,,,(2.036959755083538e-06+0j)
110,(-0.034700086059758065+0j),(0.06865544293481624+0j),(0.0004252413977692515+0j),,,,,,,(2.0369617958998647e-06+0j)
111,(-0.03762886822301667+0j),(0.06866578722705761+0j),(0.0004010802653580717+0j),,,,,,,(2.036963836716191e-06+0j)
112,(-0.04052051523632657+0j),(0.06867551872311767+0j),(0.00037656574164072055+0j),,,,,,,(2.0369658775325177e-06+0j)
113,(-0.04337217339287052+0j),(0.0686846286692294+0j),(0.0003517092281644817+0j),,,,,,,(2.036967918348844e-06+0j)
114,(-0.04618102845099321+0j),(0.06869310860595203+0j),(0.0003265227020597424+0j),,,,,,,(2.0369699591651707e-06+0j)
115,(-0.04894430840953678+0j),(0.06870095038263979+0j),(0.0003010187141995814+0j),,,,,,,(2.036971999981497e-06+0j)
116,(-0.05165928624479691+0j),(0.06870814617185678+0j),(0.00027521038674780253+0j),,,,,,,(2.0369740407978237e-06+0j)
117,(-0.054323282601433404+0j),(0.06871468848372322+0j),(0.0002491114101707161+0j),,,,,,,(2.0369760816141502e-06+0j)
118,(-0.05693366843667035+0j),(0.06872057018018055+0j),(0.00022273603977625343+0j),,,,,,,(2.0369781224304767e-06+0j)
119,(-0.05948786761455158+0j),(0.06872578448916401+0j),(0.00019609909183379497+0j),,,,,,,(2.0369801632468032e-06+0j)
120,(-0.06198335944945219+0j),(0.06873032501867296+0j),(0.00016921593931937254+0j),,,,,,,(2.0369822040631298e-06+0j)
121,(-0.06441768119191636+0j),(0.0687341857707297+0j),(0.00014210250732362751+0j),,,,,,,(2.0369842448794563e-06+0j)
122,(-0.06678843046028347+0j),(0.06873736115521885+0j),(0.0001147752681530782+0j),,,,,,,(2.0369862856957828e-06+0j)
123,(-0.06909326761124958+0j),(0.06873984600359972+0j),(8.72512361489852e-05+0j),,,,,,,(2.0369883265121093e-06+0j)
124,(-0.07132991804830306+0j),(0.068741635582485+0j),(5.954796224259166e-05+0j),,,,,,,(2.036990367328436e-06+0j)
125,(-0.0734961744687792+0j),(0.06874272560707921+0j),(3.168352825951533e-05+0j),,,,,,,(2.0369924081447623e-06+0j)
